speaker,start_time,text,confidence
5,253.3,다랑쉬 오름 선생님 보여주시니까 예전에 현경 선생님께서 수업 때 사삼의 아픈 기억들을 말씀해 주셨던 또 생각이 나네요.,0.96
1,262.68,이게 제주 43 사태 때 그 다랑쉬 오름으로 피난을 갔다가 죽은 거지. 그래서 나중에 거기에서 그 주민 11명의 그 뼈가 여기에서 다랑쉬 굴 안에서 나왔어요.,0.95
2,278.64,굴을 파고.,0.94
1,285.73,이런 걸 계기로 해 가지고 역사를 반성하고 회상하고 하는 그런 의미가 있기 때문에 단순한 그 아름다움만 즐기는 것을 넘어서는 그런 제주 답사의 그 하이라이트라고 할 수 있죠.,0.97
5,302.16,"아, 선생님 말씀드리니까 역시 그 여행은 아는 만큼 보이는 것 같습니다.",0.98
1,307.04,안 봐도 되는데 느껴야 되거든. 근데 이제 알아야 느끼니까. 이 다랑쉬 오름 옆에는 용눈이 오름이라고 하는 용눈이 오름은 가봤어요?,0.96
2,316.51,저도 가봤어요.,0.98
1,317.47,용눈이 오름은 선이 굉장히 겹쳐서 펼쳐지는데 왜 그러냐면 기생 화산이 터질 때 하나만 독립되게 터지는 게 아니라 세 개가 모여서 터지니까 그 군부리가 이렇게 세 가지로 그 펼쳐지죠.,0.96
1,335.56,김영갑 갤러리라고 있어요. 폐교를 만들었는데,0.95
1,355.51,이분이 평생 용눈이 오름만 찍었어.,0.98
1,369.41,중요한 거 테마 하나를 가지고 자기 평생을 걸어 놓으면 그 후대 사람들이 누리는 복은 어마어마한 거예요. 충청도로 한번 가볼까요?,0.96
2,378.61,네.,0.98
1,379.1,충청도 충청북도 그것도.,0.96
1,387.54,여기 충청북도의 하이라이트는 이제 남한강 흘러오는 거기에 산성이 그렇게 많아요.,0.95
2,394.16,산성.,0.93
1,395.01,"산성하면 지금 남한산성, 북한산성 이런 생각을 하잖아요. 근데 우리나라에는 산성의 나라야. 산마다 성이 쌓여 있어요.",0.96
1,413.5,나 문화재청장 때 노무현 대통령이 청장님 난 그 산성을 보면은 답답합니다. 아니 저기 들어오면 와서 싸워야지 산성으로 도망가면 어떡합니까. 이렇게 얘기를 하는 거예요. 그래서,0.95
1,431.64,"도망가는 거가 아니고 평소에는 땅에 살다가 전쟁이 나면 산성으로 가서 전쟁을 진지를 구축하고 거기에서 싸우는 거예요, 유리한 입장에서. 그래서 모든 산성에는 우물이 있고 군량미 몇 개월치 군량미가 있는 거예요.",0.97
1,450.57,"형주로 쳐들어오는 거를 산에서 내리쳐야 되니까. 전략이네, 전략. 산성이 가장 많은 곳은 삼국이 경쟁을 했던 충청북도의 단양 충주 그 제천 이 지역인데",0.96
1,467.83,산성은 산을 이렇게 뺑 둘러서 만드는데 산봉우리를 가운데 두고 뺑 두르는 것도 있고 테두리 식으로 그냥 계곡을 끼고 하는 거가 있어요.,0.95
2,499.8,근데 왜 하필 충청도 지역에 산성이 많아요?,0.97
1,502.74,고구려 백제 신라가 거기서 그렇게 싸웠거든.,0.98
2,506.1,"아, 거기가 경계선이잖아.",0.95
1,507.35,처음에는 백제 땅이었지. 근데 고구려가 와서 그 장수왕의 중원비라고 하는 게 거기 있잖아요. 진흥왕 때 또 쳐들어와 갖고 다 들어갔지.,0.96
2,517.78,그럼 산성은 주인이 고정된 게 아니라 그때그때.,0.94
1,520.48,그때그때 그 동네 사람 이 자기 거지.,0.95
2,523.53,"아, 그때그때.",0.93
1,525.1,그때마다.,0.95
2,525.62,근데 그 산성 중에 선생님이 좀 특별히 가장 좋아하는 산성은?,0.96
1,528.63,온달 산성.,0.98
2,530.08,"아, 온달산성.",0.97
1,532.16,거기 앉아서 보면 이래.,0.98
4,535.82,멋있다.,0.97
5,536.49,"아, 진짜 멋있다.",0.96
2,537.42,"음, 멋있다.",0.96
1,553.62,산성을 쌓을 적에는,0.98
2,555.61,안 무섭습니까?,0.94
4,556.66,무섭지가 않나 봐요.,0.95
2,558.13,저 무서울 것 같아요.,0.96
1,578.29,고구려 온달 장군의 온달 그 이름인데 사실은 온달이 여기 와서 싸웠는지는 몰라도 이거는 고구려 산성이 아니고 신라 산성이에요.,0.95
2,588.67,어?,0.92
1,589.33,왜냐면 이 앞에 남한강 흘러가는데 남쪽에 있는 성이야.,0.96
2,593.32,어.,0.94
1,594.12,그러니까 이건 신라 산성인데 후대 사람들이 온달이 죽었다는데 온달은 여기 아차 산성에서 죽었어.,0.97
2,600.36,그렇게 들었어요.,0.98
1,608.52,온달 장군의 전설이 사람들에게 굉장히 깊이 박혀 있잖아요. 그 이유는 이 온달 장군 이야기의 주제는 평강 공주야. 이 평강 공주가 바보 남편에다가 병든 시어머니 봉양을 하면서 그 공주 신분에.,0.96
1,631.3,그러니까 서민들에게 굉장히 사랑받을 수 있는 영국인에게 다이에나 왕세자비 같은 그런 그 이미지가 있어서 온달 장군 이야기는 평강 공주의에 대한 이야기라고 봐도 되죠.,0.95
2,644.66,네.,0.98
1,645.34,건축가 민현식 선생이 이랬어. 우리나라의 자연과 건축이 얼마나 잘 어울린가를 온달 산성보다 감동적으로 보여주는 건 없다. 그것은 전쟁에 대한 기억이 아니라 자연을 경영하는 인간의 자세를 보여준다고 해야 한다.,0.97
1,663.52,우리나라의 산성은 그 자연의 지형을 이용해 가지고 그 적당한 곳은 높이 올라가고 어떤 곳은 평평하게 해 주면서 자연을 경영하는 마인드가 인공적인 것하고 자연적인 것이 어울리면서도 전쟁의 기능을 충실하게 수행했다.,0.96
1,683.14,"그냥 시원한 전망, 거기에 올랐을 적에 내려다보는 그 전망, 꼭 한번 가봐요.",0.98
1,704.11,"다음에는 경주, 우리가 잘하는 경주로 한번 가 보.",0.96
2,706.58,"아 경주는 많이 가봤죠, 우리.",0.94
1,713.35,경주에 가서 뭐 불국사니 안압지니 대릉원이니 하지만은 경주 답사의 하이라이트는 경주 남산이에요.,0.97
2,722.4,나 몰랐어요.,0.98
1,723.55,"야외 불교 박물관인데 그 거북이가 엎드려 있는 것처럼 기다려서 길이가 8km, 폭이 4km예요.",0.96
1,737.79,"근데 거기에서 내려오는 골짜기가 40여 개가 44개가 이렇게 흘러. 골짜기마다 불쌍이 있어서 불곡, 탑곡, 삼릉곡.",0.95
2,747.36,아니 등산 계속 걸어 올라가다 보면 불상이 너무 다 틀리게 얼굴이 얼굴도 다 틀린 그런 분들이 계속 있었는데 이름은 몰랐는데.,0.96
1,755.46,"아, 그리고 경주 남산의 불상을 다 본대는 것도 불가능하지만 보겠다는 마음 먹으면 한 일주일은 거기에 있어서 오늘은 이쪽 칠불암 코스, 오늘은 삼릉계 코스.",0.97
2,768.58,"아, 삼릉계 코스.",0.98
1,769.5,그럼 한번 가 보지 뭐.,0.98
2,770.8,"아, 부러워라.",0.95
1,772.16,지붕 없는 노천 박물관이라고 부르는 이 산에 저게 탑이 보이죠? 저게 용장사터. 김시습의 금호신화를 쓴 현장이에요.,0.96
2,782.51,금호신화?,0.94
1,783.41,그리고 이와 같이 감실에 부처님 한 분이 인상이 엄청 많은데 모양별로,0.96
1,811.49,먼저 불곡에 있는 이 불상이 여기 어떤 사람은 할매 불상이라고 할머니처럼 생겼다고 그러는데,0.97
2,818.25,어 되게.,0.94
1,818.88,인자 내가 제일 멋있게 생각되는 거는 이제 부처님이 석구란 부처님처럼 아주 이상적으로 했는데 이거는 인간적으로 조각했잖아.,0.96
2,828.31,맞아요. 사람 같아요.,0.98
1,833.57,제일 멋있는 표현이 마음씨 좋은 하숙집 아줌마처럼 생겼다.,0.98
2,838.7,진짜 딱 들어맞네. 얼굴이 약간 통통해 가지고.,0.95
1,842.57,바위에 붙어서 이렇게 깎아 들어간 거거든요. 그래서 이 이 불상을 봤을 적에 그 내가 생각나는 개념이 미켈란젤로야.,0.97
2,852.87,아.,0.98
1,853.55,미켈란제로는 자기는 조각을 한 것이 아니고 이런 괴체 덩어리에 숨겨져 있는 조각을 찾아서 불필요한 것을 제거했을 뿐이라고 그랬거든.,0.96
2,864.6,아.,0.98
1,866.01,이분을 찾아서 탁 해서 들어간 그런 개념이죠. 너무 멋있다. 멋있죠?,0.97
2,871.1,네.,0.98
1,871.67,어떤 때 보면은 아주 거만하고 정내미 떨어지는 불상 많잖아요.,0.96
2,875.71,"예, 맞아요.",0.98
1,876.47,우서워 보이고 이건 전혀 그렇지 않잖아. 맞아요. 그런 불상 많아요. 통일신라 시대 때 조각이 엄청 발달을 했어요.,0.95
1,884.27,화강암은 결이 있어서 결대로 닦아야 돼요. 그러니까 잘못 치면은 그냥 한쪽이 그대로 날아간다고. 단단한 돌이기 때문에 가장 다루기 힘들고 그래서 가장 오래 가는 거예요.,0.94
1,897.33,석불을 쫄 적에는 코는 크게 만들어서 작게 들어가고 눈은 가늘게 떠서 크게 한대. 한 번 뜨면 못 감아.,0.96
2,907.37,아.,0.98
1,908.24,그 다음 불상. 이 옆에 있는 이 불상이 노천에 이대로 있는 불상인데 775년에서 800년 사이에만 이런 불상이 나와요.,0.97
2,917.84,아.,0.98
1,922.74,이것도 인간미가 확 피어나오죠.,0.96
2,924.73,맞아요.,0.98
1,925.31,또 이 불상을 보면은 인체 비례로 보면은 가분수야. 얼굴이 커요. 얼굴이 큰 이유가 예불 드리는 입장에서 볼 적에는 이게 커야 돼. 시선의 위치를 생각해서. 그렇죠. 시선의 위치에서 볼 땐 이게 맞는 거예요.,0.95
1,942.47,이분이 하도 잘생겨서 그 미술사하는 학생들이 미스터 통일신라라고 그랬어.,0.96
2,948.47,어. 근데 조각하시는 분들이 부처님을 어떻게 상상하고서 했을까요?,0.95
1,953.35,글쎄. 그 이상적인 상이지. 그때 사람들의 그 절대자에 대한 생각이 반영이 되는데 그러니까 양식에도 생명의 리듬이 있어요.,0.97
3,964.18,사실 뭐 우리나라가 이제 전쟁의 풍화도 많이 겪고 사실 뭐 신라도 뭐 불탄 문화재들도 굉장히 많잖아요. 근데 그 중에서 정말 저 불상은 보존이 너무 잘 돼 있는 거 같은데.,0.96
1,975.03,그러니까 그 유물에도 팔자가 있는데 그런 점에서 아주 고맙죠. 여러분들은 석굴암 가야 유리장 안에서 봐서 답답하잖아요. 이분은 노천에서 이렇게 바로 앞에서 절도 할 수 있고 뒤도 돌아볼 수 있고.,0.97
3,990.57,그 선생님 근데 이렇게 뭐 바티칸의 다비드상 같은 경우에는 보존을 위해 좀 레플리카를 밖에 놓고 안에다 이제 보존을 하잖아요. 근데 저것도 이제 계속 노천에 있는 것보다는 좀 어떻게 좀 좋은 데 모셔 놓으면 안 될까라는 생각이 그냥 묵득 드네요.,0.95
1,1003.92,이 화강암의 경우에는 제일 보전에 좋은 것은 햇볕을 보고 통풍을 하는 거예요. 다만 문제 되는 거는 산성비가 문제가 돼요.,0.96
1,1015.82,그래서 우리 석조 문화재를 보호하는 가장 좋은 방법은 그 형태가 어떻게 됐던 관계 없이 네 개의 기둥을 세우고 그 위에 아크릴판을 얹어 놓는 거가 제일 좋다.,0.97
2,1028.7,우산만 있으면 되니까.,0.96
1,1029.8,그러니까 햇빛은 받고 통풍은 되고 산성비는 맞지 않고. 예. 아마 그 방향으로 갈 거예요.,0.98
1,1038.24,이거를 보호한다고 해 가지고 보호각을 세워 놓으면 햇빛은 못 봤지. 그래서 망가진 게 꽤 많아요. 그래서 그 보호각을 걷어낸 것도 많아.,0.95
1,1048.22,경주 남산의 금호산 정상에 가면 용장사 삼층 석탑이라고 하는 게 딱 서 있어요.,0.97
2,1055.56,세상에서 가장 큰 석탑이라는 데 사진으로 보기에 그렇게 안 커 보이는데.,0.94
1,1058.29,"아, 그건 이제 이미지로서.",0.98
1,1081.84,그래도 보존은 잘 됐나 봐요. 이게 제일 아름다운 신이야.,0.95
2,1084.36,"어 야, 저건 진짜 대박이다.",0.96
3,1085.88,진짜 대박이다.,0.96
4,1088.44,멋있다.,0.98
1,1089.59,짱이다.,0.98
2,1090.48,"아, 저 말도 멋있다.",0.97
3,1093.1,야.,0.98
2,1093.95,별이 이렇게 보인다고.,0.96
1,1095.68,어. 이야.,0.98
1,1106.77,저기 가면 이제 도시락을 먹어야 돼.,0.98
2,1108.43,"배가 고파지고. 아, 올라가면. 선생님 저기까지 올라가는 데 얼마나 걸리니까, 대충?",0.95
1,1113.38,세 시간 정도.,0.97
2,1114.61,와. 그렇구나.,0.94
1,1116.31,"그래서 이게 세상에서 제일 큰 탑이라고 한 거는 1층, 2층, 3층 있죠? 지금. 그리고 밑에가 기단부가 이렇게 직사각형으로 이렇게 있죠.",0.96
1,1127.19,신라의 탑은 기단부가 2단으로 돼 있고 몸체가 3 세수로 돼서 2성 기단의 3층 석탑에요.,0.97
1,1148.21,근데 기단부가 이건 하나만 있고 하나는 산 전체가 하층 기단이다. 그러니까 엄청나게.,0.96
2,1157.1,"아, 그래서구나.",0.98
1,1161.46,"이 비례감이 굉장히 단화해요. 1층, 2층, 3층의 그 비례가 4 대 3 대 2의 비율로 줄어들었어요. 근데 참 재밌는 게 높이는 2층과 3층이 같아. 봐도 똑같죠.",0.97
2,1177.16,네.,0.98
1,1178.03,그게 왜 그런가. 2층과 3층이 똑같아도 보는 사람 입장에서 3층이 좁아 보이는 거예요.,0.96
2,1184.49,밑에서 보니까.,0.98
1,1185.3,밑에서 보니까 아까 보리사 불상의 얼굴이 크게 돼 있지만은 실제 사용자 입장에서는 비례가 맞는 것처럼. 그러니까 수학을 하려면 거기까지 해야 되는 거예요. 도면으로서 비례가 맞는 게 아니라 사용자 입장에서 맞춰 주는 거 같지는 한 수 더 간 거죠.,0.95
2,1202.64,굉장히 비례가 깊네요.,0.97
1,1204.36,"깊죠. 아, 그래야지 멋있으니까. 절벽에 또 세워 놓은 것으로 마치 그 화랑이 수도하는 그 마음 같은 것이 신선함에 있는 말이에요.",0.98
2,1217.02,이것도 엄청. 뭐야.,0.95
1,1228.5,이 변한 끝으머리 이렇게.,0.96
2,1230.42,여기는 어떻게 가는 거예요? 목숨 걸고 하신 거예요?,0.93
1,1232.51,이리로 갈 수 있어요. 이리로 이렇게 싹 돌면은 요쪽에서 보면 보이지.,0.96
2,1236.26,어떻게 근데 한 번만 잘못 들으면.,0.94
1,1238.22,그러니까 아니야 괜찮아.,0.97
2,1239.93,"아, 괜찮대.",0.97
1,1240.87,근데 이분도 얼굴이 약간 살쪄있어. 아까 그 보리사하고 비슷하죠? 같은 시기예요.,0.96
2,1247.2,아.,0.98
1,1248.09,그리고 옷자락이 지금 밑으로 쭉쭉 내려 있는데.,0.97
2,1251.07,그러네요.,0.96
1,1251.56,진짜 멋있다. 저렇게 앉아 있는 거를 반가상이라고 그러는데 반가가 무슨 뜻이에요? 가부자를 튼 것을 반만 텄다는 뜻이야.,0.98
2,1260.72,한 팔 하나는 안 올라갔잖아. 약간 여기 있는.,0.95
1,1264.77,이렇게 앉았으니까 반가지.,0.97
1,1272.49,이번에는 가장 드라마틱한 불상을 하나 소개하려고 하는데. 이게 경주 열암곡이라는 계곡에 이런 바위 덩어리가 있어서 거기를 이렇게 헤치니까 저기 얼굴 보이죠.,0.96
2,1286.55,코.,0.98
1,1287.42,"이러고 있네, 이러고. 진짜 이렇게 보니까 보이네.",0.97
2,1290.52,그렇지.,0.98
1,1291.39,"손바닥 보이죠? 예, 보여요. 코, 저거.",0.97
2,1294.25,"어, 어.",0.96
4,1294.91,진짜 대박이다.,0.98
2,1296.31,맞다 맞다. 옆으로.,0.97
1,1300.48,6m 되는 큰 바위 덩어리가 지진으로 이렇게 팡 떨어졌어.,0.96
2,1306.27,어머머.,0.98
1,1307.56,그런데 다행히 이 얼굴이 적기 때문에 코가 깨지질 않아요.,0.97
2,1314.21,"와, 진짜 대박이다.",0.98
1,1316.05,그래가지고 2007년이지? 불상이 이게 발견돼서 우리 신문에도 나오고 테레비에 다 나왔어요.,0.96
2,1322.22,외신에도 많이 났잖아. 외신에 났는데 르몽드지 일면 신문에 이렇게 나왔어요.,0.95
1,1327.22,이게 몇 년도에 발견된 거예요? 2007년에.,0.93
2,1329.21,7년도?,0.92
1,1329.77,와 대박이다. 2007년 9월 셉템버에 났는데 그 제목을 썼는데 뭐라고 그랬냐면은 위에 제목은 꼬레드 쉿 해가지고 경주에서 1300년 전의 불상이 나왔는데 밑에 써 있는 것은 그것은 5cm의 기적이었다.,0.93
1,1347.56,5cm 차이로 코가 안 깨졌다는 거예요. 진짜. 문화재청에서 저거를 세우는 작업을 지금 하고 있어요.,0.97
1,1355.86,근데 저거를 세우기가 힘든 게 들어가는 길이 없어. 그래서 장비가 들어가기 위해서 길을 내야 돼요. 그다음에 저걸 일으키려면은 중장비가 가야 되는데 저게 언제 세울지 모르지만 하여튼 세우려고 작업해서 저것이 벌떡 일어나는 순간 경주 남산의 심볼 불상이 되는 거예요.,0.96
3,1375.65,아니 근데 선생님 근데 이 부처님은 천 년 동안 이러고 계셨는데 사실. 그러니까 이 상태로 보존을 하는 것도 어떻게 보면 의미가 있지 않을까 싶기도.,0.95
1,1383.77,이렇게 띄우러서 옆으로만 뉘어 놓자고 하는.,0.97
2,1386.84,"아, 그래도.",0.98
1,1388.14,선 이런 게 아무래도 좀 보존이 잘 돼 있어가지고. 손바닥 보이죠.,0.96
2,1393.08,이러고 하고 있는 거. 손바닥. 보존이 된 거지. 선명해요.,0.97
1,1396.85,"선명해요, 아주.",0.98
2,1398.29,"선생님 그렇다면 누가 발견한 건가요, 2007년도에? 아무도 발견 못 했던 거잖아요.",0.95
1,1403.71,"아니, 거기에 옆에 저 깨진 불상 이 있었어요. 그래서 그 불상 광배 조각이 더 있는가를 찾아다닌 거야. 그래서 찾아다니기 위해서 바위 미투머리를 이렇게 회집는데 여기에 이제 흙이 꽉 차 있었지.",0.96
1,1421.02,손바닥에 뭔가 울퉁불퉁한 게 입술 같은 코 같은 느낌이 돼 가지고 문화재 연구소 사람들이 와서 흙을 다 긁어내서 딱 본 거예요.,0.97
2,1431.57,그러면 위대한 발견이지.,0.98
1,1438.65,이번에는 남도로 가 봅시다.,0.98
2,1441.84,"남도, 남도, 전라남도. 예.",0.96
1,1444.15,산사를 찾아서.,0.98
1,1488.47,우리나라의 산사는 산에 있는 절은 기도처이면서 수도처라고. 그 두 가지를 같이 있기 때문에 수도하는 곳으로서의 고즈넉함하고 편안함을 유지를 하고 있죠. 정연하면서도 한편으로는 약간 흐트러진 데가 있어서 사람을 위압하지를 않고 편안하게 맞이해 주는 그런 분위기를 갖고 있어요.,0.97
2,1512.47,아까 온달 산성도 자연과 어우러져 있는 것에서 아름다움을 말씀하셨잖아요. 근데 이것도 비슷한 맥락 같은데요.,0.96
1,1517.76,"같은 컨셉이죠. 우리 저 신라를 고신라 통일신라라고 구별하잖아요. 근데 김부식은 상국사기에서 신라 사람들은 자신들의 역사를 상대, 중대, 하대로 구분하였다.",0.98
1,1540.48,"해공항 때부터 귀족들은 힘을 잃어가고 호족들이 일어나기 시작을 해요. 이 호족들은 중앙하고 이데올로기가 달랐어요. 신라의 불교는 왕즉불, 왕이 부처님이고 귀족이 보살이고 중생이 대중이라는 이 위계가 딱 짜여 있어요.",0.96
1,1562.04,그랬는데 어느 날 도위선사라고 하는 분이 선종을 가져와 가지고 선종을 부르짖었어요. 그 선종의 내용이 뭐냐면은 깨우친 자가 부처다란 얘기예요. 이 얘기는 왕즉불을 깨버리고 능력 있는 자가 왕이 될 수 있다는 논리를 제공하잖아요.,0.95
1,1581.04,그래서 지방의 호족들은 선종 사찰을 막 짓는 거예요. 그게 구산선문이야.,0.97
2,1586.54,어.,0.98
1,1587.18,장응에 있는 보림사가 첫 번째고 남원에 있는 실상사에서 문경에 있는 봉암사. 아홉 개의 산문이 열리는데 대개 다 폐사가 되고 장응 보림사에 만드는데 그때 만드는 불상은 저런 이상적인 인간상이 아니라 호족의 이미지 강력한 이미지를 가지는 거죠. 그리고 철로 만들어요.,0.96
2,1615.92,"그러네, 강인함 막.",0.97
1,1620.19,그 표정을 한번 보세요. 미소가 전혀 없네.,0.95
2,1624.36,비장. 심약해. 파워풀해.,0.94
1,1625.88,그렇구나. 아니 헤어스타일도 되게 저기는 둥글둥글하신데. 둘 다 나발이야. 둘 다 나발이야. 다리도 한쪽 내려놓지도 않고.,0.96
1,1638.29,"그 옆에 있는 화순 쌍봉사에 가면은 스님을 화장을 해서 묻은 사리탑에 모시는 게 승탑이지, 부도라는데 단일 조각 석조물로 최고로 화려한 조각이 이거야.",0.97
1,1656.58,마치 밀가루 반죽을 가지고 한 것처럼 화강암을 이렇게 다뤘어.,0.96
2,1662.26,"아니, 저 아랫부분은 뭉게구름이 피어 올라오죠. 케이크 같아요, 무슨.",0.95
1,1667.6,저게 연꽃 받침 있잖아요? 저게 이제 꽃이 폈지. 그리고 그 다음에는 가릉빈가를 비롯한 그 주학 천녀들이 이렇게 날개를 펴기도 하고 뭐 빵빠레 같은 걸 불기도 하고 있고 사천왕이 지키고 있고 그 다음에 비천상이 날고 있고. 저기 기화가 아니고 화강암을 기화처럼 깎은 거야.,0.97
2,1690.97,"어, 너무하다.",0.98
1,1692.3,이게 우리나라 하대 신라의 문화예요.,0.97
1,1723.72,지금 우리 네 군데 갔다 왔죠? 예. 이제 다섯 번째 가는 거는 서울.,0.96
2,1728.67,서울.,0.98
1,1729.73,강남에 있는 선정릉으로 가겠습니다.,0.97
2,1733.23,강남 한복판에 있는. 선정릉 구호선 선정 능력. 그 이름도 김요해.,0.95
1,1766.69,"홍살문을 지나서 정자각 가면은 능침이 나오고 그리고 문신석, 무신석이 있고.",0.96
2,1774.1,문신이네요. 얼굴 들어서.,0.94
1,1795.1,조선 시대의 왕릉이 남쪽에 40기가 있어요. 그래서 남쪽에 있는 40기가 유네스코 세계 유산으로 등재가 됐어요.,0.97
2,1804.78,다요? 왕릉으로?,0.96
1,1806.21,이미. 그때 이 선정릉이 문제가 됐어.,0.98
2,1810.48,"어, 왜요?",0.98
1,1811.15,유적지가 파괴가 된 것은 등재를 안 해 줘요.,0.97
2,1816.66,아이고.,0.98
1,1817.41,그래서 우리가 처음부터 이거를 빼고 신청을 할까 했는데 조사 나온 그 유네스코 이코머스 심사 위원들이 엄청난 도시 개발 속에서 끝까지 지켜줬다고 하는 것이 오히려 그게 문화 유산으로서의 가치를 말해 준다. 이거 빼지 말고 하라. 그래 갖고 선정릉도 같이 세계 유산으로 등재가 됐어요.,0.96
2,1840.17,그렇구나.,0.98
1,1841.19,"이 왕릉을 국민들에게 알려 주는데 우선 이름이 잘못 알려졌어. 왕릉인가 보다 정도 이야기하거나 지하철 2호선 선릉역, 9호선 선정 능역 이것만 기억을 하는데",0.96
2,1855.4,누구의 주인인지를 잘 모르죠. 이름만 알고.,0.95
1,1857.33,"그래서 그걸 얘기를 했어요. 이제 성종대왕 선릉, 중종대왕 정릉. 이 두 개가 합쳐져 있는 거예요. 그래서 선정릉이라고 했어. 그랬는데",0.97
1,1867.44,성종대왕 능은 성종대왕의 능이 있고 성종대왕의 부인인 정현왕후의 능은 다른 언덕에 있어요.,0.96
2,1876.36,어.,0.98
1,1877.15,그래도 그거는 선능이 합쳐서,0.97
2,1879.4,음.,0.98
1,1880.16,"그랬는데 그거를 잘 몰라 가지고 옛날에는 그거를 능이 세 개란는 걸로 해서 삼릉이라고 불렀어요, 여기를.",0.96
2,1887.85,아.,0.98
1,1889.1,테헤란노로 진 거는 77년인가 그렇고 그전에는 그 길 이름이 삼릉로야.,0.97
2,1896.2,"아, 진짜요?",0.98
1,1898.15,이 능에는 스토리가 여러 가지가 있을 수 있는데 임진왜란 때 선능하고 정능이 일본 놈에 의해서 도굴이 됐어요.,0.96
2,1908.47,아.,0.98
1,1909.15,이건 참 그 끔찍한 일이거든. 현 왕으로서 조상의 묘가 됐다. 그래가지고 임진왜란 정유재란 끝난 다음에 도쿠가와 이에야스 막부가 다시 외교를 하자고 보내왔어요.,0.95
2,1924.47,예.,0.98
1,1925.14,그러니까 이 도대체 이 사람들의 생각이 뭔지 궁금한 거야. 전쟁에서 싸울 땐 언제고 이제 와 가지고 그런가. 그 왜 그랬냐면은 도쿠가와 막부는 굉장한 쇠국 정책을 쓰면서도 문명의 파이프 하나는 조선에다 둬야 되겠다. 해서 다시 외교 관계를 친선 관계를 열고 싶다.,0.95
1,1947.35,그래 가지고 저쪽에서 욕을 온 것을 정부에서 뭐라고 그랬냐면은 다시 외교 관계를 열고 싶으면은 도쿠가와 이에야스의 분명한 사과문을 공식적인 사과문을 보내라. 두 번째 능을 파괴했던 범인들을 잡아서 보내라.,0.97
2,1965.9,어.,0.98
1,1969.73,그렇게 보냈어요.,0.97
2,1970.9,네.,0.98
1,1971.39,그랬더니 공식적인 사과 문서에 일본 국왕 도장 찍힌 문서 하고 그리고 두 명의 그 범인을 같이 보내 왔어.,0.96
2,1980.46,어.,0.98
